Spice ID                    GM [au^3/day^2]             x [au]                      y [au]                      z [au]                      vx [au/day]                 vy [au/day]                 vz [au/day]
2000489                     +5.4846724291131712E-16     -1.1744559033881636E+00     +2.8087337449428564E+00     +5.9309482047559825E-01     -8.9741270304604850E-03     -4.0338329170531229E-03     -3.1440059443886272E-04
2000106                     +5.3973999999999977E-16     -1.8885238975254854E+00     +2.1789081597186293E+00     +1.1926507884623025E+00     -8.7075542369091964E-03     -4.3091386768450979E-03     -1.3715910634296772E-03
2000344                     +5.3689097042583348E-16     -1.9735232101019853E+00     -1.0015689997411839E+00     -1.3166408756836687E-01     +7.7764025214708240E-03     -6.5771024448912736E-03     -7.0860963900750478E-03
2000168                     +5.3470999999999977E-16     +1.8527344939362529E+00     -2.5822128502004844E+00     -8.3333532735091354E-01     +7.6212832079777977E-03     +5.4277100510558987E-03     +2.1996563007240836E-03
2000238                     +5.2966693580739110E-16     +1.3727245293810945E-02     +2.6974907834362130E+00     +5.2728396632433994E-01     -1.0600649696845255E-02     +8.6986838840959939E-04     -2.7488195652394659E-06
2000268                     +5.2669011092543478E-16     -6.0940734768277072E-01     +2.7511993667254155E+00     +1.1457375931768996E+00     -9.3956833389740764E-03     -3.1161046907028497E-03     -9.0069700070124624E-04
2000069                     +5.1446100208767355E-16     -2.2991387025393566E+00     +1.1262093158980024E+00     +2.6695260492340711E-01     -6.0646777624987621E-03     -9.3670052723550806E-03     -2.5766062583931389E-03
2000712                     +5.0204242212925650E-16     -7.0856994151637032E-01     -2.7771546355745316E+00     -8.8870588731231659E-01     +8.8614951716514401E-03     -1.6969109591047694E-03     +1.1392862249409107E-03
2000420                     +4.8352000000000002E-16     -1.3350826236818834E+00     +2.8345683417201935E+00     +9.1092376127548502E-01     -8.8455252263791775E-03     -3.3614553813426915E-03     -2.2455669595380272E-03
2000104                     +4.8122396678018733E-16     -3.1493250121897924E+00     -1.2855352248541976E+00     -4.9973192482376433E-01     +2.5417892683606740E-03     -7.6465505900080947E-03     -3.7423602067737632E-03
2000690                     +4.7637535316542469E-16     -2.1788661294458108E-02     +2.7639988142758849E+00     +1.0121239010176237E+00     -9.9869419383681792E-03     +2.3110669517087817E-03     -1.1834367067973973E-03
2000129                     +4.6542452473979754E-16     -2.5243586803999949E+00     +1.0694931875215651E-01     +4.1063297417756234E-01     +1.1710586901092978E-03     -1.0883185472818978E-02     -2.9954336506847357E-03
2000618                     +4.6386880160793903E-16     -3.0129067234883204E+00     +1.1289057600560590E+00     +1.2385106486786150E+00     -3.6577467633674599E-03     -7.9916900331948176E-03     -1.3734883456062220E-03
2000375                     +4.5585992488069247E-16     +1.6372193385418901E-01     +2.5651467627780447E+00     +2.0385010265640955E+00     -9.0874778906760139E-03     +1.6706486036131461E-03     +5.1662419117408064E-05
2000814                     +4.5559595663772374E-16     +1.3009325755700809E+00     +1.7761032358904687E+00     +2.1402541166963623E-01     -8.6027632318199931E-03     +7.1178889959339466E-03     +6.9250957005587655E-03
2000150                     +4.5336468487968124E-16     +9.4015624702882328E-01     +2.4521017371373834E+00     +9.8222089426113524E-01     -9.4393819256934058E-03     +4.4359659732260128E-03     +1.5713814179522875E-03
2000196                     +4.5014136561179280E-16     -3.1062806419746405E+00     +4.7658351686149007E-02     +4.4045458284848948E-01     -4.8633602603395079E-04     -8.7635779600109594E-03     -4.1345666588479164E-03
2000117                     +4.4713680178417893E-16     +6.9013109760963165E-01     -2.3511996394032098E+00     -1.7988183375061551E+00     +9.4756960400491780E-03     +1.6222126564370909E-03     +1.8592443306675588E-03
2000139                     +4.2242882143774452E-16     +3.1212280094841658E+00     +5.9006685339409837E-01     +3.7655001541703664E-01     -2.6749884789841918E-03     +6.9422950293465966E-03     +4.7719774015934704E-03
2000164                     +4.1832602031724900E-16     -1.8619864174842189E+00     -2.3514968734854929E+00     -3.7382461652343163E-01     +7.6650456551582624E-03     -1.5973904871376939E-03     -4.7690290897400844E-03
2000225                     +4.1456571725352779E-16     -3.3827158926812895E+00     -6.3540195629238116E-01     -3.9823453800737424E-01     +4.0649802709371557E-03     -8.2061349511776301E-03     -5.7576467712754261E-05
2000147                     +4.0681729177164312E-16     -8.1486466033844351E-02     +2.8895525519238086E+00     +1.2086416733592680E+00     -9.7005054964713622E-03     +2.1366814657521743E-04     -2.4198124900086100E-04
2000092                     +4.0369435176860728E-16     +2.5920356725876799E+00     +1.3864965893823717E+00     +6.6550177956720136E-02     -4.0426638026572334E-03     +8.6425984853025044E-03     +4.1221902025327809E-03
2000146                     +3.9415999999999998E-16     -2.5269372703195359E+00     +9.5098918943901739E-02     +6.8537778751715694E-01     -9.5579057781681131E-04     -9.9066216715111254E-03     -4.3259325138868161E-03
2000173                     +3.9124285470831010E-16     +1.2177605143422707E+00     -2.1256456181998011E+00     -5.8595601569587863E-01     +8.5189087278071830E-03     +7.3670122080154755E-03     +3.4362205807744788E-04
2000027                     +3.8880038985457882E-16     +7.6980993144368892E-01     -2.3981187757547433E+00     -1.0561982325610597E+00     +8.9713487105042393E-03     +3.0236437300796225E-03     +1.0334805466840232E-03
2000212                     +3.8674996577516789E-16     +3.2555832459495371E-01     +2.4733059197593441E+00     +1.2476494543780321E+00     -1.0628267623799460E-02     +1.8978408503837686E-03     +3.0300736436561325E-04
2000596                     +3.8350891708780020E-16     +9.3762668901003809E-01     +2.9768768738283296E+00     +1.3438205256507190E+00     -7.9905077023510167E-03     +1.0410012338845122E-03     +2.7992581650657603E-03
2000895                     +3.7864750330894842E-16     +2.7762316662292577E+00     -1.3027029913855210E+00     +9.5206968501594880E-01     +1.0848080461778528E-03     +8.6692723732755446E-03     +3.8767363053461342E-03
2000141                     +3.7661406016708328E-16     +1.9440515876025510E+00     +4.4700653765249604E-01     +6.0111032024867572E-01     -4.2769635073920797E-03     +1.0759032874307631E-02     +6.1460748497793689E-03
2000005                     +3.7487362845520318E-16     -2.1571210336533482E+00     -6.3108689059112677E-01     -8.7815400808061175E-02     +1.6700917506676325E-03     -1.1395045968116404E-02     -4.0760773148965567E-03
2000105                     +3.7154667975341450E-16     +1.9564574303323543E+00     -1.1433159400529627E+00     +6.2381090442660596E-02     +7.4709844737065991E-03     +8.9104537279595282E-03     +7.4004997816789510E-04
2000056                     +3.6992883127021258E-16     +1.9435879588139946E+00     -7.4677684565039326E-01     -1.4070133380573346E-01     +6.2576578265052746E-03     +1.0909234235603478E-02     +3.2607213263529831E-03
2000057                     +3.6806019206396510E-16     +2.5832378751153917E+00     +1.0240754811252126E+00     +3.9249016599856051E-01     -4.6464728172722937E-03     +9.6634389258813888E-03     +1.1250949522355728E-03
2000419                     +3.6781999999999998E-16     -2.1895378885405834E+00     -5.9195155967344615E-01     -3.4810740925042066E-01     +6.0711796324609772E-03     -9.8196991476959088E-03     -3.4091668496451341E-03
2000127                     +3.6611682430617228E-16     +2.4111992185931110E+00     -1.3136629249276794E+00     -9.8424594840484780E-01     +5.2120611328225147E-03     +7.2925956026359227E-03     +3.8391402182807494E-03
2000490                     +3.6414973977832911E-16     +7.1220498118645537E-01     +2.8076276591710432E+00     +7.0589942901893021E-01     -9.6960325975548513E-03     +3.1585801917939789E-03     +8.3734931343035235E-04
2000410                     +3.6186546970297339E-16     -2.0175467437185288E+00     +2.0548400570445584E+00     +1.2470611552322455E+00     -5.4684711706020316E-03     -6.8993998155166296E-03     -1.6623063341554914E-03
2000654                     +3.5953000000000000E-16     +6.6122080140128692E-01     -2.4650023041774634E+00     -9.7412774187754181E-01     +8.8575055785676104E-03     -2.3725783938295615E-04     +3.0725850168953710E-03
2000381                     +3.5934934807617610E-16     +2.1615853823093980E+00     -1.8636730132148538E+00     -9.4269856017997766E-01     +7.4264240967964815E-03     +7.0017196402075814E-03     +6.3280485761161144E-04
2000074                     +3.5073744512956140E-16     -2.8130454668642955E+00     -1.7272720738946490E+00     -6.7765087947827030E-01     +5.3571571831412725E-03     -6.0771460364723489E-03     -2.0398288159034837E-03
2000388                     +3.4333444128591692E-16     -8.9627902929444087E-02     -2.5146498778338966E+00     -1.4440796476750288E+00     +1.0287443352389790E-02     +9.5492696930256289E-05     +1.7629967910336991E-04
2000068                     +3.4310265912379692E-16     -3.2490959471921350E+00     -3.9144320582807568E-01     +1.4382085223202720E-01     +1.2712638315904858E-03     -7.4159222851600494E-03     -4.2744209535086853E-03
2000505                     +3.4176985017472392E-16     +2.3126516950875455E+00     -4.5865608974857913E-01     -6.3407749452249573E-01     +4.9631772577760948E-04     +1.0554196569579658E-02     +4.4435458228661807E-03
2000508                     +3.4106769797534871E-16     +7.3266290022319802E-01     -2.4827508472679285E+00     -1.7578653145833933E+00     +9.4029110984049213E-03     +2.6806942882571807E-03     -1.0512748263120010E-04
2000089                     +3.4020311574394289E-16     -2.3252904156717267E+00     -1.0834305028471634E+00     -1.3345296326656457E+00     +6.1972683807566559E-03     -6.5360778413368738E-03     -2.8722147879214838E-03
2000360                     +3.3677605743530068E-16     +2.3258808629670993E+00     -1.6954029934929116E+00     -8.3317097819655273E-01     +4.5621121710860604E-03     +8.6506036122076125E-03     +1.6750377085295919E-03
2000909                     +3.3629754927610392E-16     -3.8122262310706150E+00     -3.5662021472214139E-01     +6.4043749122669047E-01     +2.5124869931053648E-04     -8.2411143749127197E-03     -1.1464223920564045E-03
2000134                     +3.3620465420887158E-16     +4.7738098984750538E-01     -2.2960095527698634E+00     -1.5609335845368333E+00     +9.4584206641633081E-03     +1.6103845426483703E-03     +1.6649185371722449E-03
2000481                     +3.3407005297045191E-16     +1.5783851201543555E+00     -1.9629341559984981E+00     -1.2985133094253500E+00     +7.2068951300371413E-03     +6.6434607254902932E-03     +2.1370119673054765E-03
2000046                     +3.2728000000000001E-16     -2.4273491580192377E+00     +1.4534277673710967E+00     +5.5874074251576122E-01     -5.8570877877341006E-03     -6.8581368266696016E-03     -2.6527439364409252E-03
2000334                     +3.2624933794345618E-16     +3.4594855045221231E+00     -1.3735439308350139E+00     -7.3864229770675327E-01     +3.9154888662432360E-03     +7.5709153498360587E-03     +2.5571850936197548E-03
2000469                     +3.2283999999999999E-16     +3.6873452223193519E+00     -1.2673668645248265E-01     +3.0227570821844973E-01     -1.4093507007862955E-04     +6.7276345419856540E-03     +4.5342413778004772E-03
2000140                     +3.1316732532224061E-16     -1.0193763600402057E+00     -1.9741907432150270E+00     -7.5875874142759769E-01     +1.1526736238768593E-02     -2.8724334965256719E-03     -1.8522582747523678E-03
2000776                     +3.0567119446636531E-16     -3.0502719680258075E+00     +2.0231888483876032E-01     +1.2035615552044678E+00     -2.7879153371997787E-03     -7.9415862562579338E-03     -2.9772741075417453E-03
