Spice ID                    GM [au^3/day^2]             x [au]                      y [au]                      z [au]                      vx [au/day]                 vy [au/day]                 vz [au/day]                 
2000041                     +9.3242237621988685E-16     +2.1910253156130355E+00     +2.7167679105068676E+00     +3.5234978227193914E-01     -6.3628395830227216E-03     +4.5940938812110603E-03     +6.6068969947266772E-04     
2000532                     +9.3159485940656196E-16     -2.8865689530602917E-01     -2.4809239720280400E+00     -7.2566852580497654E-01     +1.0153081182825697E-02     -2.0687251380983405E-03     -3.6321628170170334E-03     
2000085                     +9.2540854530185373E-16     +2.2007798710519593E+00     +4.1464723371434486E-01     +2.8139290167808312E-01     -1.0293925927727010E-03     +1.1985898841408776E-02     +2.5718277231101040E-03     
2000444                     +9.0708048441145045E-16     -1.1766008780690385E-01     -2.5505904227037437E+00     -6.2249334117092137E-01     +1.0779116169337126E-02     +1.1716320652408977E-03     +8.4094989753718630E-04     
2000702                     +8.8950672849270447E-16     +7.3558891797386883E-01     +2.5767860791543731E+00     +1.8409463732341855E+00     -8.6109641050344677E-03     +3.7067638448669326E-03     -1.2711678390420610E-03     
2000137                     +8.5612605995538922E-16     +2.1902350108363633E+00     -1.1443193130989011E+00     -2.2500265639352323E-02     +6.1665833340712800E-03     +1.0032718323316075E-02     +2.5247241684302510E-03     
2000471                     +8.4594307289596827E-16     -2.3613031840678040E+00     -2.5926904155071222E+00     -5.0821307194518106E-01     +5.8300700025511612E-03     -4.1464643245063401E-03     -3.6289878970854552E-03     
2000045                     +8.4256780185679339E-16     -1.2822381519828907E+00     -2.0635667509179800E+00     -5.8126789975536475E-01     +9.6238321204015487E-03     -5.4422130494652761E-03     -2.3569191813570698E-03     
2000006                     +8.3124192126733721E-16     +1.3435520045991307E+00     +1.4435426186337599E+00     +7.9539729995090722E-02     -8.7763355427947689E-03     +9.4319980987746608E-03     +3.5379452440431015E-03     
2000076                     +8.3122000000000012E-16     +2.6398632772084696E+00     +1.4386517073260257E+00     +6.1539781610997735E-01     -6.6496208759397385E-03     +7.3246920440678594E-03     +2.7808114360708207E-03     
2000154                     +8.2983887671636944E-16     -2.0701813918468588E+00     -1.7998228495499471E+00     -9.2167867826582794E-01     +6.6092262625255587E-03     -5.1712223465482411E-03     -6.3740743885788344E-03     
2000409                     +8.2144999999999987E-16     +2.6324451496042482E+00     +3.3623798733566940E-02     +4.9964493273226274E-01     -1.2149916993596933E-04     +9.8060909131263731E-03     +3.2166801486385220E-03     
2000145                     +7.5582329262288917E-16     +1.1061956029861661E+00     +2.0470455379896331E+00     +7.3379929133323651E-01     -1.0478066037842852E-02     +2.7080683738049545E-03     +3.8857541467499164E-03     
2000308                     +7.2405478852581394E-16     -1.0383844123142687E+00     -2.3318832597241035E+00     -8.1077093292846147E-01     +9.9028795975421805E-03     -3.6721795753660675E-03     -1.2372940598533463E-03     
2000121                     +7.0079069220413433E-16     +1.3387692947078755E+00     -2.5738041610417630E+00     -1.4106549645950637E+00     +8.4039953501291609E-03     +5.0757473441876430E-03     +1.2081680331189613E-03     
2000349                     +7.0078739271302920E-16     -3.1522455093398585E+00     -1.3019259671707437E-01     +2.1206506293018998E-01     -2.3548870212825553E-04     -7.9963622754110845E-03     -4.6657568223917424E-03     
2000144                     +6.9951633549830869E-16     -3.1981419934800068E+00     -7.0736654956833678E-01     -3.4512634474460076E-02     +1.7459765879501953E-03     -7.3294088054096642E-03     -3.5015576897368767E-03     
2000216                     +6.9079712474674255E-16     -2.6192348441492808E+00     -2.1404413684824788E+00     -8.4819426201476489E-01     +5.3689724836645551E-03     -5.8627794136296698E-03     -5.8281000764019502E-04     
2000059                     +6.3394427275876513E-16     -2.1695406643664157E+00     +1.7552722442898505E+00     +5.2147272055626437E-01     -7.1949772204886820E-03     -6.6911057729031817E-03     -1.6024401206163239E-03     
2000259                     +6.2808585539363831E-16     -1.6228160620376650E+00     -2.1495704828787057E+00     -6.0914249409342380E-01     +8.7487063171240442E-03     -5.1448008597024270E-03     -4.0849705709938089E-03     
2000566                     +6.2674000000000000E-16     +3.1127198078404419E+00     -3.8157675657775482E-02     -3.0641849993246117E-01     +1.6304950210455982E-04     +9.2378146058999955E-03     +4.1377732086036274E-03     
2000747                     +6.2157460662366884E-16     -8.3039957255450192E-01     +2.0604642498942747E+00     +6.1355883320309590E-01     -1.2135090598079450E-02     -1.9989624441496177E-03     +2.5780445346493385E-03     
2000008                     +5.8942565297069081E-16     -2.1151533836457430E+00     +8.0923331040831181E-01     +5.3366392969677956E-01     -5.8184500696920631E-03     -8.8067657013997311E-03     -2.8331017913126410E-03     
2000093                     +5.6477307179764760E-16     +5.9008206131781304E-01     +2.6027641851076884E+00     +1.6154231461508028E+00     -8.8042541643951217E-03     +1.8031611981372080E-03     +1.2582328816813373E-03     
2000054                     +5.6241736501924590E-16     -1.1311514261093387E+00     -1.6682331787719331E+00     -1.2289014134286942E+00     +1.1013910471445896E-02     -4.3927974937349300E-03     -7.9085805447862568E-04     
2000405                     +5.5764804768085391E-16     -1.6763114805844723E+00     -7.2019569585460286E-01     -6.3599923489026444E-01     +6.0531453109847599E-03     -1.1999336109197062E-02     -3.1908498375509383E-03     
2000047                     +5.5435235615988891E-16     +1.0722444504119149E+00     -2.0056584870492493E+00     -1.0928232200210459E+00     +1.0164639000935746E-02     +4.7346318489072696E-03     +2.4952801887741256E-03     
2000489                     +5.4846724291131712E-16     +2.5110105912604941E+00     -2.0654552311145462E+00     -5.1127858026162065E-01     +6.0467243797328726E-03     +6.9699932782697734E-03     +1.0359888412579969E-03     
2000106                     +5.3973999999999977E-16     +1.1914543988743029E+00     -2.6409123954910481E+00     -1.3576430769650627E+00     +8.0619838085866230E-03     +4.8593565322265263E-03     +1.6814199278323754E-03     
2000344                     +5.3689097042583348E-16     -1.4317788948941268E+00     +2.2445727586340412E+00     +2.0560485194081171E+00     -6.4742273213442810E-03     -4.3038194186308379E-03     -1.1299683408239670E-03     
2000168                     +5.3470999999999977E-16     +3.1210569295598400E+00     -9.9422639823972658E-01     -2.2406135503455996E-01     +2.7332286766272407E-03     +8.6962309977235610E-03     +3.1658850718366003E-03     
2000238                     +5.2966693580739110E-16     +2.4148124908397599E+00     +1.0572462871330124E+00     +2.5108813926620077E-01     -4.6389515526385622E-03     +9.8608654619944565E-03     +1.8506050401013389E-03     
2000268                     +5.2669011092543478E-16     +6.4425217849698813E-01     -2.7938503223955342E+00     -1.1625962571279631E+00     +9.7459409119233526E-03     +8.0098007462263779E-04     -5.3319271090125793E-05     
2000069                     +5.1446100208767355E-16     -2.7268710772932345E+00     -1.7322331984607697E-01     -9.1246771144790906E-02     -8.3618128893918927E-04     -1.0405131978807223E-02     -2.7898278295773794E-03     
2000712                     +5.0204242212925650E-16     -2.1767114928216396E+00     +1.3501281387089041E+00     -2.6033307446101116E-02     -6.9706562766722532E-03     -7.4884408488602129E-03     -3.3285312759592776E-03     
2000420                     +4.8352000000000002E-16     -3.4304896469208375E+00     +1.5372414314204341E-01     -3.3008757326886429E-01     -4.0264594736030504E-04     -8.5962923001703592E-03     -3.2808149906085834E-03     
2000104                     +4.8122396678018733E-16     +2.6091283132512024E+00     +8.3062827483475732E-01     +2.9785838115656676E-01     -4.5954874998259477E-03     +8.9632657295746453E-03     +4.4516393223236004E-03     
2000690                     +4.7637535316542469E-16     -1.5675960720960085E+00     -2.7532748371415821E+00     -1.3352405042824778E+00     +8.2039844815756970E-03     -3.2324245173215296E-03     +4.7686022803363956E-04     
2000129                     +4.6542452473979754E-16     +1.7775341716276710E-01     +3.3070356649415893E+00     +8.2302561122542661E-01     -8.2894709618173308E-03     -6.6263166521024822E-04     +1.0731385855221440E-03     
2000618                     +4.6386880160793903E-16     +2.5205996367306396E+00     +1.5109432172996653E+00     -2.8311102722603887E-01     -4.1575618940401732E-03     +8.6896470751977612E-03     +3.8874381928243346E-03     
2000375                     +4.5585992488069247E-16     -1.4319436626661002E+00     -2.0277177567907327E+00     -1.7882747789490550E+00     +9.1005552219999633E-03     -3.6361057285930658E-03     -1.6406514823872332E-03     
2000814                     +4.5559595663772374E-16     -2.6388352544439719E+00     -3.0427447032726631E+00     -1.8737001476472212E-01     +5.3751229360607077E-03     -3.1814328072842547E-03     -3.7507544378769875E-03     
2000150                     +4.5336468487968124E-16     -5.0920079220789372E-01     +2.7673420590134477E+00     +1.0809186130030020E+00     -9.8409574359973051E-03     -3.1536266302328847E-04     -3.0863502897550237E-04     
2000196                     +4.5014136561179280E-16     +2.8753693191365230E+00     -7.5386902156699087E-01     -7.4826418483637935E-01     +3.3017927058434297E-03     +8.6084092555209941E-03     +3.6658569041112324E-03     
2000117                     +4.4713680178417893E-16     +2.2748847329067150E+00     -1.5886659544162030E+00     -1.1136630268490653E+00     +6.2299749087383182E-03     +5.9319619328020885E-03     +5.0266913777468718E-03     
2000139                     +4.2242882143774452E-16     -2.2816672344336091E+00     +1.3056047929354211E-01     +1.1337656608449488E-01     -1.1452729231356954E-03     -1.0124000027026802E-02     -6.9129844011553152E-03     
2000164                     +4.1832602031724900E-16     -3.0356548115713546E+00     -1.5188752400703818E+00     +6.9202885481330156E-01     +2.9759253528018155E-03     -5.4014501078017453E-03     -4.4969137627075178E-03     
2000225                     +4.1456571725352779E-16     -2.5235962535793686E+00     -1.6379352891280892E+00     -3.8314509213479131E-01     +7.7350694030198907E-03     -6.8281695722942877E-03     +4.4167394340860326E-04     
2000147                     +4.0681729177164312E-16     -1.3115120910037911E-01     -2.9247727556087995E+00     -1.2331382892342304E+00     +9.5770424049384881E-03     -2.7587102158812540E-04     +2.1119166029350147E-04     
2000092                     +4.0369435176860728E-16     -1.0384047608508538E+00     -2.8745569839061336E+00     -9.3048579664394904E-01     +9.1683068553440258E-03     -1.7382276393671163E-03     -2.3496479440639709E-03     
2000146                     +3.9415999999999998E-16     -8.0666607784084987E-01     -2.2744391246875058E+00     -8.3847062851363519E-01     +1.0109074333318629E-02     -2.5318130389914853E-03     -3.7356261746875250E-03     
2000173                     +3.9124285470831010E-16     +1.7574539486503510E-01     +2.3949510989417742E+00     +4.5190695847842893E-01     -1.1142512938904885E-02     +2.5437661165009983E-03     +1.9525854263807755E-03     
2000027                     +3.8880038985457882E-16     -1.2556960506821004E+00     +1.4194064172472445E+00     +6.4918986629366326E-01     -1.0819825414504327E-02     -6.7268005734490832E-03     -2.5728600829889752E-03     
2000212                     +3.8674996577516789E-16     -1.9622476644357723E+00     -2.5036243654610062E+00     -1.3617952486748504E+00     +7.0970973716664131E-03     -4.6626069491114081E-03     -1.8949609597167028E-03     
2000596                     +3.8350891708780020E-16     +2.0727518303581220E+00     +2.5603977620377072E+00     +7.9384371868426118E-01     -6.1903990688310971E-03     +4.3489586978355662E-03     +4.0728696543372092E-03     
2000895                     +3.7864750330894842E-16     -1.1493622777888881E+00     -2.9698742385970407E+00     -1.7426144168387281E+00     +6.9000269796021660E-03     -4.3785897953030227E-03     +1.9181829682896080E-03     
2000141                     +3.7661406016708328E-16     +2.0057659052457457E+00     +3.2044515323358075E-01     +5.2658213375558249E-01     -3.4838608242896037E-03     +1.0899068692811360E-02     +6.3912336173515697E-03     
2000005                     +3.7487362845520318E-16     +2.4937998682731322E+00     +1.0371623415335260E+00     +2.1082925674066177E-01     -5.5694673541518153E-03     +7.9649105556101503E-03     +3.1161888079103183E-03     
2000105                     +3.7154667975341450E-16     -2.1461947780411093E+00     +5.4264243265315071E-01     -9.8873353823649979E-02     -9.3434741423552531E-04     -1.1859831389409011E-02     -5.0804981504569554E-04     
2000056                     +3.6992883127021258E-16     -2.5046080994027213E+00     -5.9905941170969901E-01     -2.5591870798584149E-01     +5.0008388815913291E-03     -9.1515667882744473E-03     -2.3780293531517529E-03     
2000057                     +3.6806019206396510E-16     -2.3871902927174573E+00     -2.4758966778145393E+00     -6.1275833362126608E-01     +6.1422989210989142E-03     -6.1170297319963146E-03     -4.2395948515741463E-04     
2000419                     +3.6781999999999998E-16     -8.2770256490794469E-01     +2.9258105820936602E+00     +1.0708795120021375E+00     -7.8457337445290952E-03     -2.4288864131509695E-03     -1.3740159990240338E-03     
2000127                     +3.6611682430617228E-16     +2.6309887991564573E-01     +2.2552881804021880E+00     +1.3030463498278140E+00     -1.0848080779030300E-02     +1.6029947350278210E-04     +1.0538830450597097E-03     
2000490                     +3.6414973977832911E-16     +4.0751441698866804E-02     -3.1707116812001659E+00     -8.0074176597712809E-01     +9.3131035304072837E-03     +9.0746980970485573E-04     +2.0462907373698566E-04     
2000410                     +3.6186546970297339E-16     -1.9155112944292021E+00     -1.2360089660040920E+00     -1.0254045810155812E-01     +7.9550652015961537E-03     -7.9679719176429641E-03     -4.8524519607033951E-03     
2000654                     +3.5953000000000000E-16     +2.4588196320852753E+00     -1.1556488584185369E+00     +3.1208289621418234E-01     +1.7738056596559547E-03     +7.9848545979970889E-03     +4.5943753946951355E-03     
2000381                     +3.5934934807617610E-16     -2.9906520141253292E+00     -4.6259539681800704E-01     +4.2536983610701279E-01     +2.1325167701982803E-03     -9.3305181402146067E-03     -3.0699194024006080E-03     
2000074                     +3.5073744512956140E-16     +2.0074036495479475E+00     +6.4157685035334067E-01     +2.7502046921212353E-01     -3.9670678260044553E-03     +1.1831903108144281E-02     +4.1215070171603625E-03     
2000388                     +3.4333444128591692E-16     +2.3254378395546658E+00     -1.3958897601010460E+00     -7.7767174666014793E-01     +5.9675265477944616E-03     +7.5320108167019053E-03     +4.3923140092773380E-03     
2000068                     +3.4310265912379692E-16     +2.1553346945671938E+00     -4.7193776580000563E-01     -5.0440927911976408E-01     +3.4475434104263881E-03     +1.0638385275503766E-02     +5.5339516312448737E-03     
2000505                     +3.4176985017472392E-16     +2.0558842529000585E+00     +7.1658633357675383E-01     -7.9426394810180392E-02     -5.5007098473016007E-03     +1.0143865610341668E-02     +5.3800981039871468E-03     
2000508                     +3.4106769797534871E-16     -1.8298955389042544E+00     +2.0344930842931448E+00     +1.6810036366744354E+00     -7.5303743791874248E-03     -5.4379710011224526E-03     -2.0366222552812285E-03     
2000089                     +3.4020311574394289E-16     +6.7279040657579703E-01     +1.7851682423808803E+00     +1.3913340718620246E+00     -1.0184057897930752E-02     +5.4703756774934394E-03     +1.1436528654876362E-03     
2000360                     +3.3677605743530068E-16     +2.3704684145547774E+00     +9.4713110538907086E-01     -1.0444511540377785E-01     -5.0442752230660057E-03     +9.8026624662080862E-03     +3.4661706144256295E-03     
2000909                     +3.3629754927610392E-16     +2.6480882883491175E+00     -1.9122305434431699E+00     -7.1481078490093120E-01     +5.1293287612657326E-03     +8.2145931750223691E-03     +1.7160575516515864E-04     
2000134                     +3.3620465420887158E-16     -2.0067961226938049E+00     +1.2153950859984126E+00     +7.3144549048906027E-01     -7.3600538460518805E-03     -6.7186900095000182E-03     -5.0726482930659542E-03     
2000481                     +3.3407005297045191E-16     +9.7895339576312401E-01     +1.9320572009226269E+00     +8.1930133426482343E-01     -1.0731622231569680E-02     +4.0669982658570122E-03     +4.0285321284307439E-03     
2000046                     +3.2728000000000001E-16     -4.7047095757079621E-01     -2.2960846451300361E+00     -8.8763695945786081E-01     +1.0895525479066019E-02     -1.8820199936899127E-04     -5.9631885478379461E-05     
2000334                     +3.2624933794345618E-16     +3.4484653565939327E+00     -1.3235079769604892E+00     -7.1420647620935107E-01     +3.9295303191761348E-03     +7.6820915177600391E-03     +2.5937826888725560E-03     
2000469                     +3.2283999999999999E-16     -2.2725641155385210E+00     -9.4752325514375058E-01     -8.7839367365510568E-01     +4.8899581307444758E-03     -8.8400469446488737E-03     -5.4780623370961380E-03     
2000140                     +3.1316732532224061E-16     +2.3542199594204596E+00     +5.6650746354215020E-01     +9.9249176473718587E-02     -5.4259283399607820E-04     +1.0772323513090629E-02     +4.4871071457645868E-03     
2000776                     +3.0567119446636531E-16     -2.4258733527008434E+00     +1.2448870679071615E+00     +1.4998228353964580E+00     -6.1938312242762689E-03     -7.0074822503926014E-03     -1.2528276202488241E-03     
2000211                     +3.0465115564904100E-16     +2.7163777495997108E+00     +4.3098358280710769E-01     +3.8274844366589938E-01     -3.5105864661076915E-03     +9.4731249565297385E-03     +3.7833185691097458E-03     
2000241                     +3.0054836259460052E-16     +2.1615286654904988E+00     -1.6495965205600360E+00     -4.9397630983225216E-01     +6.2964878529487888E-03     +7.8179475116318606E-03     +4.0790540965517375E-03     
